id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2025-01-15;46287.59545833
N;Norte;2025-01-16;7679.46058333
NE;Nordeste;2025-01-16;13185.16016667
S;Sul;2025-01-16;16908.57558333
SE;Sudeste/Centro-Oeste;2025-01-16;47722.29633333
N;Norte;2025-01-17;7677.75333333
NE;Nordeste;2025-01-17;13151.25091667
S;Sul;2025-01-17;17010.2495
SE;Sudeste/Centro-Oeste;2025-01-17;48887.67104167
N;Norte;2025-01-18;7398.0885
NE;Nordeste;2025-01-18;12639.28966667
S;Sul;2025-01-18;15302.06741667
SE;Sudeste/Centro-Oeste;2025-01-18;46063.66275
N;Norte;2025-01-19;6858.350125
NE;Nordeste;2025-01-19;12115.51983333
S;Sul;2025-01-19;13938.62641667
SE;Sudeste/Centro-Oeste;2025-01-19;43781.68758333
N;Norte;2025-01-20;7755.431625
NE;Nordeste;2025-01-20;13243.502375
S;Sul;2025-01-20;16868.91945833
SE;Sudeste/Centro-Oeste;2025-01-20;50517.57879167
N;Norte;2025-01-21;7765.85929167
NE;Nordeste;2025-01-21;13706.212375
S;Sul;2025-01-21;16848.96891667
SE;Sudeste/Centro-Oeste;2025-01-21;53362.516375
N;Norte;2025-01-22;7777.167625
NE;Nordeste;2025-01-22;13763.850125
S;Sul;2025-01-22;17592.585625
SE;Sudeste/Centro-Oeste;2025-01-22;54012.871
N;Norte;2025-01-23;7830.04275
NE;Nordeste;2025-01-23;13461.009125
S;Sul;2025-01-23;17883.68216667
SE;Sudeste/Centro-Oeste;2025-01-23;52777.585125
N;Norte;2025-01-24;7770.6575
NE;Nordeste;2025-01-24;13431.91154167
S;Sul;2025-01-24;17383.731125
SE;Sudeste/Centro-Oeste;2025-01-24;52024.59404167
N;Norte;2025-01-25;7314.75154167
NE;Nordeste;2025-01-25;12665.053875
S;Sul;2025-01-25;14674.21516667
SE;Sudeste/Centro-Oeste;2025-01-25;48700.13366667
N;Norte;2025-01-26;7109.84925
NE;Nordeste;2025-01-26;12003.77775
S;Sul;2025-01-26;12625.20458333
SE;Sudeste/Centro-Oeste;2025-01-26;44930.48495833
N;Norte;2025-01-27;7814.205625
NE;Nordeste;2025-01-27;13198.869625
S;Sul;2025-01-27;16468.24329167
SE;Sudeste/Centro-Oeste;2025-01-27;50163.15441667
N;Norte;2025-01-28;8088.05104167
NE;Nordeste;2025-01-28;13608.34554167
S;Sul;2025-01-28;16625.34654167
SE;Sudeste/Centro-Oeste;2025-01-28;50797.05908333
N;Norte;2025-01-29;8005.18333333
NE;Nordeste;2025-01-29;13561.69041667
S;Sul;2025-01-29;16783.70058333
SE;Sudeste/Centro-Oeste;2025-01-29;50758.94829167
N;Norte;2025-01-30;7850.74945833
NE;Nordeste;2025-01-30;13592.698
S;Sul;2025-01-30;16447.07875
SE;Sudeste/Centro-Oeste;2025-01-30;49544.85808333
N;Norte;2025-01-31;7764.70733333
NE;Nordeste;2025-01-31;13026.52245833
S;Sul;2025-01-31;15543.76075
SE;Sudeste/Centro-Oeste;2025-01-31;47953.30633333
N;Norte;2025-02-01;7429.728875
NE;Nordeste;2025-02-01;12767.80708333
S;Sul;2025-02-01;14427.33358333
SE;Sudeste/Centro-Oeste;2025-02-01;44312.819625
N;Norte;2025-02-02;7129.51754167
NE;Nordeste;2025-02-02;12042.90154167
S;Sul;2025-02-02;13252.101375
SE;Sudeste/Centro-Oeste;2025-02-02;41377.215125
N;Norte;2025-02-03;7579.88079167
NE;Nordeste;2025-02-03;13585.376625
S;Sul;2025-02-03;17387.25733333
SE;Sudeste/Centro-Oeste;2025-02-03;48267.03329167
N;Norte;2025-02-04;7725.14570833
NE;Nordeste;2025-02-04;13495.54429167
S;Sul;2025-02-04;18285.3515
SE;Sudeste/Centro-Oeste;2025-02-04;49888.76354167
N;Norte;2025-02-05;8007.15741667
NE;Nordeste;2025-02-05;13467.02429167
S;Sul;2025-02-05;18384.70245833
SE;Sudeste/Centro-Oeste;2025-02-05;50627.12704167
N;Norte;2025-02-06;7853.70875
NE;Nordeste;2025-02-06;13291.75995833
S;Sul;2025-02-06;17796.59545833
SE;Sudeste/Centro-Oeste;2025-02-06;51533.71908333
N;Norte;2025-02-07;7831.03570833
NE;Nordeste;2025-02-07;13363.11366667
S;Sul;2025-02-07;17179.26604167
SE;Sudeste/Centro-Oeste;2025-02-07;52233.92425
N;Norte;2025-02-08;7581.69933333
NE;Nordeste;2025-02-08;12811.02120833
S;Sul;2025-02-08;14845.31458333
SE;Sudeste/Centro-Oeste;2025-02-08;47694.13758333
N;Norte;2025-02-09;7154.383875
NE;Nordeste;2025-02-09;12193.416
S;Sul;2025-02-09;14005.99429167
SE;Sudeste/Centro-Oeste;2025-02-09;44419.27
N;Norte;2025-02-10;7614.797125
NE;Nordeste;2025-02-10;13677.59645833
S;Sul;2025-02-10;18259.91266667
SE;Sudeste/Centro-Oeste;2025-02-10;51418.29020833
N;Norte;2025-02-11;7793.75958333
NE;Nordeste;2025-02-11;13743.749125
S;Sul;2025-02-11;19281.88766667
SE;Sudeste/Centro-Oeste;2025-02-11;52408.35154167
N;Norte;2025-02-12;7845.56554167
NE;Nordeste;2025-02-12;14151.20429167
S;Sul;2025-02-12;18669.80858333
SE;Sudeste/Centro-Oeste;2025-02-12;53240.741625
N;Norte;2025-02-13;7818.87316667
NE;Nordeste;2025-02-13;14221.62470833
S;Sul;2025-02-13;17527.19704167
SE;Sudeste/Centro-Oeste;2025-02-13;53390.07758333
N;Norte;2025-02-14;7685.50275
NE;Nordeste;2025-02-14;14154.28320833
S;Sul;2025-02-14;16784.18083333
SE;Sudeste/Centro-Oeste;2025-02-14;52948.68654167
N;Norte;2025-02-15;7327.09154167
NE;Nordeste;2025-02-15;13573.73404167
S;Sul;2025-02-15;15211.36283333
SE;Sudeste/Centro-Oeste;2025-02-15;49010.93066667
N;Norte;2025-02-16;6962.76741667
NE;Nordeste;2025-02-16;12769.26320833
S;Sul;2025-02-16;13869.35229167
SE;Sudeste/Centro-Oeste;2025-02-16;46333.60891667
N;Norte;2025-02-17;7524.995
NE;Nordeste;2025-02-17;14107.02820833
S;Sul;2025-02-17;17000.81254167
SE;Sudeste/Centro-Oeste;2025-02-17;54542.45666667
N;Norte;2025-02-18;7800.48370833
NE;Nordeste;2025-02-18;14166.531125
S;Sul;2025-02-18;15565.3815
SE;Sudeste/Centro-Oeste;2025-02-18;55552.92191667
N;Norte;2025-02-19;7871.27925
NE;Nordeste;2025-02-19;14493.52229167
S;Sul;2025-02-19;15210.12229167
SE;Sudeste/Centro-Oeste;2025-02-19;54683.399625
N;Norte;2025-02-20;7873.97533333
NE;Nordeste;2025-02-20;14355.59491667
S;Sul;2025-02-20;16356.35583333
SE;Sudeste/Centro-Oeste;2025-02-20;55180.35825
N;Norte;2025-02-21;7892.43195833
NE;Nordeste;2025-02-21;14418.26683333
S;Sul;2025-02-21;17147.543
SE;Sudeste/Centro-Oeste;2025-02-21;54688.273
N;Norte;2025-02-22;7622.221875
NE;Nordeste;2025-02-22;13645.283875
S;Sul;2025-02-22;14987.45625
SE;Sudeste/Centro-Oeste;2025-02-22;49894.80558333
N;Norte;2025-02-23;7484.735
NE;Nordeste;2025-02-23;13440.84166667
S;Sul;2025-02-23;13763.521125
SE;Sudeste/Centro-Oeste;2025-02-23;46206.26725
N;Norte;2025-02-24;8049.42354167
NE;Nordeste;2025-02-24;14550.43945833
S;Sul;2025-02-24;17906.08475
SE;Sudeste/Centro-Oeste;2025-02-24;53444.69504167
N;Norte;2025-02-25;8009.48045833
NE;Nordeste;2025-02-25;14671.00354167
S;Sul;2025-02-25;19040.22283333
SE;Sudeste/Centro-Oeste;2025-02-25;54096.76320833
N;Norte;2025-02-26;8054.28183333
NE;Nordeste;2025-02-26;14770.66520833
S;Sul;2025-02-26;18947.040625
SE;Sudeste/Centro-Oeste;2025-02-26;54108.77679167
N;Norte;2025-02-27;8058.36766667
NE;Nordeste;2025-02-27;14651.26616667
S;Sul;2025-02-27;18192.30966667
SE;Sudeste/Centro-Oeste;2025-02-27;54213.71258333
N;Norte;2025-02-28;8170.38929167
NE;Nordeste;2025-02-28;14138.75183333
S;Sul;2025-02-28;18673.509875
SE;Sudeste/Centro-Oeste;2025-02-28;53643.41016667
N;Norte;2025-03-01;7930.64029167
NE;Nordeste;2025-03-01;13067.291875
S;Sul;2025-03-01;15901.348625
SE;Sudeste/Centro-Oeste;2025-03-01;48349.55270833
N;Norte;2025-03-02;7589.58033333
NE;Nordeste;2025-03-02;12436.00320833
S;Sul;2025-03-02;14645.464875
SE;Sudeste/Centro-Oeste;2025-03-02;45119.76233333
N;Norte;2025-03-03;7781.50866667
NE;Nordeste;2025-03-03;12763.18054167
S;Sul;2025-03-03;17501.42779167
SE;Sudeste/Centro-Oeste;2025-03-03;47852.507625
N;Norte;2025-03-04;7600.18720833
NE;Nordeste;2025-03-04;12535.18775
S;Sul;2025-03-04;17597.56391667
SE;Sudeste/Centro-Oeste;2025-03-04;47359.16020833
N;Norte;2025-03-05;7809.69066667
NE;Nordeste;2025-03-05;13471.86741667
S;Sul;2025-03-05;18809.03570833
SE;Sudeste/Centro-Oeste;2025-03-05;50724.32891667
N;Norte;2025-03-06;8063.00929167
NE;Nordeste;2025-03-06;14247.06004167
S;Sul;2025-03-06;18958.11358333
SE;Sudeste/Centro-Oeste;2025-03-06;52016.04383333
N;Norte;2025-03-07;7925.74504167
NE;Nordeste;2025-03-07;14326.12083333
S;Sul;2025-03-07;18686.32470833
SE;Sudeste/Centro-Oeste;2025-03-07;52143.11441667
N;Norte;2025-03-08;7627.42875
NE;Nordeste;2025-03-08;13624.05270833
S;Sul;2025-03-08;16622.582125
SE;Sudeste/Centro-Oeste;2025-03-08;48447.55066667
N;Norte;2025-03-09;7523.78766667
NE;Nordeste;2025-03-09;12597.55591667
S;Sul;2025-03-09;13880.76479167
SE;Sudeste/Centro-Oeste;2025-03-09;45560.16941667
N;Norte;2025-03-10;8003.20895833
NE;Nordeste;2025-03-10;13791.85725
S;Sul;2025-03-10;15693.13141667
SE;Sudeste/Centro-Oeste;2025-03-10;52561.81475
N;Norte;2025-03-11;8071.790625
NE;Nordeste;2025-03-11;14502.49404167
S;Sul;2025-03-11;16150.59083333
SE;Sudeste/Centro-Oeste;2025-03-11;53024.09733333
N;Norte;2025-03-12;8029.66654167
NE;Nordeste;2025-03-12;14852.41745833
S;Sul;2025-03-12;15912.18725
SE;Sudeste/Centro-Oeste;2025-03-12;52165.663625
N;Norte;2025-03-13;8197.1835
NE;Nordeste;2025-03-13;14773.16933333
S;Sul;2025-03-13;16046.065
SE;Sudeste/Centro-Oeste;2025-03-13;52562.118
N;Norte;2025-03-14;8152.64116667
NE;Nordeste;2025-03-14;14591.96741667
S;Sul;2025-03-14;15209.01283333
SE;Sudeste/Centro-Oeste;2025-03-14;51972.0925
N;Norte;2025-03-15;7931.41754167
NE;Nordeste;2025-03-15;13629.064
S;Sul;2025-03-15;13370.36991667
SE;Sudeste/Centro-Oeste;2025-03-15;48408.509
N;Norte;2025-03-16;7579.664625
NE;Nordeste;2025-03-16;12887.61570833
S;Sul;2025-03-16;11727.03445833
SE;Sudeste/Centro-Oeste;2025-03-16;44196.56675
N;Norte;2025-03-17;7974.42575
NE;Nordeste;2025-03-17;14190.8665
S;Sul;2025-03-17;15729.92791667
SE;Sudeste/Centro-Oeste;2025-03-17;49699.28566667
N;Norte;2025-03-18;8033.25495833
NE;Nordeste;2025-03-18;14214.4635
S;Sul;2025-03-18;16150.670375
SE;Sudeste/Centro-Oeste;2025-03-18;50138.68054167
N;Norte;2025-03-19;8069.23291667
NE;Nordeste;2025-03-19;14404.94225
S;Sul;2025-03-19;15586.58408333
SE;Sudeste/Centro-Oeste;2025-03-19;48610.76358333
N;Norte;2025-03-20;8052.1825
NE;Nordeste;2025-03-20;14724.91995833
S;Sul;2025-03-20;15668.21708333
SE;Sudeste/Centro-Oeste;2025-03-20;47053.25245833
N;Norte;2025-03-21;8192.76866667
NE;Nordeste;2025-03-21;14446.65416667
S;Sul;2025-03-21;15539.7825
SE;Sudeste/Centro-Oeste;2025-03-21;47216.28066667
N;Norte;2025-03-22;7754.818875
NE;Nordeste;2025-03-22;13655.82220833
S;Sul;2025-03-22;13829.789
SE;Sudeste/Centro-Oeste;2025-03-22;44323.49020833
N;Norte;2025-03-23;7600.85958333
NE;Nordeste;2025-03-23;12698.10933333
S;Sul;2025-03-23;12777.76383333
SE;Sudeste/Centro-Oeste;2025-03-23;42127.936125
N;Norte;2025-03-24;8273.21904167
NE;Nordeste;2025-03-24;14094.760625
S;Sul;2025-03-24;16469.62658333
SE;Sudeste/Centro-Oeste;2025-03-24;48069.36970833
N;Norte;2025-03-25;8385.097875
NE;Nordeste;2025-03-25;14179.74620833
S;Sul;2025-03-25;16612.527
SE;Sudeste/Centro-Oeste;2025-03-25;49009.27783333
N;Norte;2025-03-26;8271.78758333
NE;Nordeste;2025-03-26;14469.95754167
S;Sul;2025-03-26;15975.87908333
SE;Sudeste/Centro-Oeste;2025-03-26;49408.81741667
N;Norte;2025-03-27;8240.90295833
NE;Nordeste;2025-03-27;14273.50754167
S;Sul;2025-03-27;16082.30654167
SE;Sudeste/Centro-Oeste;2025-03-27;48560.18366667
N;Norte;2025-03-28;8172.68420833
NE;Nordeste;2025-03-28;14035.14170833
S;Sul;2025-03-28;15987.204625
SE;Sudeste/Centro-Oeste;2025-03-28;49316.727125
N;Norte;2025-03-29;7865.67179167
NE;Nordeste;2025-03-29;13304.12329167
S;Sul;2025-03-29;14060.7875
SE;Sudeste/Centro-Oeste;2025-03-29;46280.26066667
N;Norte;2025-03-30;7544.95658333
NE;Nordeste;2025-03-30;12558.596
S;Sul;2025-03-30;12331.193375
SE;Sudeste/Centro-Oeste;2025-03-30;43114.75875
N;Norte;2025-03-31;8061.73475
NE;Nordeste;2025-03-31;14155.63629167
S;Sul;2025-03-31;16012.86908333
SE;Sudeste/Centro-Oeste;2025-03-31;49676.79708333
N;Norte;2025-04-01;8118.594875
NE;Nordeste;2025-04-01;14310.61104167
S;Sul;2025-04-01;15630.17933333
SE;Sudeste/Centro-Oeste;2025-04-01;49954.13708333
N;Norte;2025-04-02;8079.168875
NE;Nordeste;2025-04-02;14230.03733333
S;Sul;2025-04-02;15896.805625
SE;Sudeste/Centro-Oeste;2025-04-02;50427.040625
N;Norte;2025-04-03;8123.72108333
NE;Nordeste;2025-04-03;14097.476375
S;Sul;2025-04-03;15563.01291667
SE;Sudeste/Centro-Oeste;2025-04-03;51336.05333333
N;Norte;2025-04-04;8185.91220833
NE;Nordeste;2025-04-04;14102.99495833
S;Sul;2025-04-04;14289.79504167
SE;Sudeste/Centro-Oeste;2025-04-04;50194.33354167
N;Norte;2025-04-05;7898.33008333
NE;Nordeste;2025-04-05;13441.59891667
S;Sul;2025-04-05;11686.36233333
SE;Sudeste/Centro-Oeste;2025-04-05;42616.46891667
N;Norte;2025-04-06;7546.6585
NE;Nordeste;2025-04-06;12474.9985
S;Sul;2025-04-06;10424.35079167
SE;Sudeste/Centro-Oeste;2025-04-06;37716.02883333
N;Norte;2025-04-07;8000.27091667
NE;Nordeste;2025-04-07;13773.887125
S;Sul;2025-04-07;13648.40104167
SE;Sudeste/Centro-Oeste;2025-04-07;43571.16954167
N;Norte;2025-04-08;8088.84591667
NE;Nordeste;2025-04-08;14152.44941667
S;Sul;2025-04-08;14396.72758333
SE;Sudeste/Centro-Oeste;2025-04-08;44971.78775
N;Norte;2025-04-09;8263.37454167
NE;Nordeste;2025-04-09;14377.69633333
S;Sul;2025-04-09;13861.76458333
SE;Sudeste/Centro-Oeste;2025-04-09;46843.493875
N;Norte;2025-04-10;8483.53945833
NE;Nordeste;2025-04-10;14506.791875
S;Sul;2025-04-10;13914.95816667
SE;Sudeste/Centro-Oeste;2025-04-10;46491.07033333
N;Norte;2025-04-11;8266.719125
NE;Nordeste;2025-04-11;14595.73379167
S;Sul;2025-04-11;13945.33608333
SE;Sudeste/Centro-Oeste;2025-04-11;44988.4625
N;Norte;2025-04-12;7716.62254167
NE;Nordeste;2025-04-12;13669.11295833
S;Sul;2025-04-12;12611.99366667
SE;Sudeste/Centro-Oeste;2025-04-12;42765.15975
N;Norte;2025-04-13;7508.29329167
NE;Nordeste;2025-04-13;12624.30016667
S;Sul;2025-04-13;10868.04745833
SE;Sudeste/Centro-Oeste;2025-04-13;40342.522625
N;Norte;2025-04-14;8190.81708333
NE;Nordeste;2025-04-14;14231.47654167
S;Sul;2025-04-14;12969.904125
SE;Sudeste/Centro-Oeste;2025-04-14;46126.06866667
N;Norte;2025-04-15;8280.554375
NE;Nordeste;2025-04-15;14706.04529167
S;Sul;2025-04-15;13688.84658333
SE;Sudeste/Centro-Oeste;2025-04-15;46028.50879167
N;Norte;2025-04-16;8552.63591667
NE;Nordeste;2025-04-16;14508.55008333
S;Sul;2025-04-16;14135.79283333
SE;Sudeste/Centro-Oeste;2025-04-16;45775.144875
N;Norte;2025-04-17;8492.03983333
NE;Nordeste;2025-04-17;14263.22925
S;Sul;2025-04-17;14050.23529167
SE;Sudeste/Centro-Oeste;2025-04-17;45219.81416667
N;Norte;2025-04-18;8050.55166667
NE;Nordeste;2025-04-18;12484.59125
S;Sul;2025-04-18;11227.56045833
SE;Sudeste/Centro-Oeste;2025-04-18;40340.532625
N;Norte;2025-04-19;8163.46
NE;Nordeste;2025-04-19;12964.9825
S;Sul;2025-04-19;11217.775125
SE;Sudeste/Centro-Oeste;2025-04-19;40539.03104167
N;Norte;2025-04-20;7707.621125
NE;Nordeste;2025-04-20;12581.20829167
S;Sul;2025-04-20;9618.25308333
SE;Sudeste/Centro-Oeste;2025-04-20;37399.00775
N;Norte;2025-04-21;7895.47395833
NE;Nordeste;2025-04-21;13149.31995833
S;Sul;2025-04-21;10960.134
SE;Sudeste/Centro-Oeste;2025-04-21;38731.39879167
N;Norte;2025-04-22;8373.24379167
NE;Nordeste;2025-04-22;14381.40654167
S;Sul;2025-04-22;13420.99891667
SE;Sudeste/Centro-Oeste;2025-04-22;42584.97291667
N;Norte;2025-04-23;8332.405875
NE;Nordeste;2025-04-23;14166.49825
S;Sul;2025-04-23;13875.35645833
SE;Sudeste/Centro-Oeste;2025-04-23;43552.10929167
N;Norte;2025-04-24;8247.307625
NE;Nordeste;2025-04-24;14042.12508333
S;Sul;2025-04-24;14359.632875
SE;Sudeste/Centro-Oeste;2025-04-24;45250.37358333
N;Norte;2025-04-25;8352.453375
NE;Nordeste;2025-04-25;14041.55354167
S;Sul;2025-04-25;14346.08225
SE;Sudeste/Centro-Oeste;2025-04-25;46266.15770833
N;Norte;2025-04-26;7927.066875
NE;Nordeste;2025-04-26;13461.74704167
S;Sul;2025-04-26;12835.18808333
SE;Sudeste/Centro-Oeste;2025-04-26;42697.00833333
N;Norte;2025-04-27;7189.60504167
NE;Nordeste;2025-04-27;12278.572125
S;Sul;2025-04-27;11365.02658333
SE;Sudeste/Centro-Oeste;2025-04-27;39642.61541667
N;Norte;2025-04-28;8357.90308333
NE;Nordeste;2025-04-28;14221.83016667
S;Sul;2025-04-28;13525.226375
SE;Sudeste/Centro-Oeste;2025-04-28;46090.974875
N;Norte;2025-04-29;8360.390625
NE;Nordeste;2025-04-29;14661.77608333
S;Sul;2025-04-29;13678.56716667
SE;Sudeste/Centro-Oeste;2025-04-29;45294.26308333
N;Norte;2025-04-30;8244.748875
NE;Nordeste;2025-04-30;14374.96283333
S;Sul;2025-04-30;13698.397
SE;Sudeste/Centro-Oeste;2025-04-30;43745.15233333
N;Norte;2025-05-01;7832.86420833
NE;Nordeste;2025-05-01;12876.78941667
S;Sul;2025-05-01;11643.9185
SE;Sudeste/Centro-Oeste;2025-05-01;39260.43783333
N;Norte;2025-05-02;8132.9955
NE;Nordeste;2025-05-02;13546.27879167
S;Sul;2025-05-02;12710.09025
SE;Sudeste/Centro-Oeste;2025-05-02;40964.71929167
N;Norte;2025-05-03;7991.861375
NE;Nordeste;2025-05-03;12911.07925
S;Sul;2025-05-03;11611.185
SE;Sudeste/Centro-Oeste;2025-05-03;38894.53833333
N;Norte;2025-05-04;7830.12679167
NE;Nordeste;2025-05-04;12275.87170833
S;Sul;2025-05-04;10431.1475
SE;Sudeste/Centro-Oeste;2025-05-04;36662.3715
N;Norte;2025-05-05;8375.60820833
NE;Nordeste;2025-05-05;13821.70629167
S;Sul;2025-05-05;13889.39866667
SE;Sudeste/Centro-Oeste;2025-05-05;42295.65941667
N;Norte;2025-05-06;8469.785
NE;Nordeste;2025-05-06;13982.73520833
S;Sul;2025-05-06;14559.158625
SE;Sudeste/Centro-Oeste;2025-05-06;43517.44383333
N;Norte;2025-05-07;8395.21183333
NE;Nordeste;2025-05-07;13998.403125
S;Sul;2025-05-07;14816.11320833
SE;Sudeste/Centro-Oeste;2025-05-07;44362.67804167
N;Norte;2025-05-08;8390.27508333
NE;Nordeste;2025-05-08;14049.169125
S;Sul;2025-05-08;14899.05520833
SE;Sudeste/Centro-Oeste;2025-05-08;44792.07679167
N;Norte;2025-05-09;8410.05225
NE;Nordeste;2025-05-09;14111.10979167
S;Sul;2025-05-09;14741.62975
SE;Sudeste/Centro-Oeste;2025-05-09;46106.91983333
N;Norte;2025-05-10;8084.70358333
NE;Nordeste;2025-05-10;13272.01116667
S;Sul;2025-05-10;11531.90004167
SE;Sudeste/Centro-Oeste;2025-05-10;43337.007625
N;Norte;2025-05-11;7673.50870833
NE;Nordeste;2025-05-11;12509.68720833
S;Sul;2025-05-11;9527.95566667
SE;Sudeste/Centro-Oeste;2025-05-11;37634.96845833
N;Norte;2025-05-12;8161.650125
NE;Nordeste;2025-05-12;13867.26825
S;Sul;2025-05-12;12739.655875
SE;Sudeste/Centro-Oeste;2025-05-12;42094.29170833
N;Norte;2025-05-13;8143.47904167
NE;Nordeste;2025-05-13;13857.33395833
S;Sul;2025-05-13;13643.17195833
SE;Sudeste/Centro-Oeste;2025-05-13;42802.22708333
N;Norte;2025-05-14;8098.24933333
NE;Nordeste;2025-05-14;13662.53833333
S;Sul;2025-05-14;13766.91354167
SE;Sudeste/Centro-Oeste;2025-05-14;42042.96854167
N;Norte;2025-05-15;7971.609125
NE;Nordeste;2025-05-15;13109.12991667
S;Sul;2025-05-15;13571.75133333
SE;Sudeste/Centro-Oeste;2025-05-15;42503.91904167
N;Norte;2025-05-16;
NE;Nordeste;2025-05-16;
S;Sul;2025-05-16;
SE;Sudeste/Centro-Oeste;2025-05-16;
N;Norte;2025-05-17;
NE;Nordeste;2025-05-17;
S;Sul;2025-05-17;
SE;Sudeste/Centro-Oeste;2025-05-17;
N;Norte;2025-05-18;
NE;Nordeste;2025-05-18;
S;Sul;2025-05-18;
SE;Sudeste/Centro-Oeste;2025-05-18;
