,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
189,NE,Nordeste,2017-02-17T00:00:00.000,11046.38925
190,S,Sul,2017-02-17T00:00:00.000,13309.80720833
191,SE,Sudeste/Centro-Oeste,2017-02-17T00:00:00.000,43224.96545833
192,N,Norte,2017-02-18T00:00:00.000,5120.94995833
193,NE,Nordeste,2017-02-18T00:00:00.000,10442.91333333
194,S,Sul,2017-02-18T00:00:00.000,11919.618125
195,SE,Sudeste/Centro-Oeste,2017-02-18T00:00:00.000,39806.81958333
196,N,Norte,2017-02-19T00:00:00.000,4845.264125
197,NE,Nordeste,2017-02-19T00:00:00.000,9616.31658333
198,S,Sul,2017-02-19T00:00:00.000,10821.48616667
199,SE,Sudeste/Centro-Oeste,2017-02-19T00:00:00.000,36359.17566667
200,N,Norte,2017-02-20T00:00:00.000,5317.31425
201,NE,Nordeste,2017-02-20T00:00:00.000,10698.92441667
202,S,Sul,2017-02-20T00:00:00.000,14095.77925
203,SE,Sudeste/Centro-Oeste,2017-02-20T00:00:00.000,43453.83004167
204,N,Norte,2017-02-21T00:00:00.000,5322.87458333
205,NE,Nordeste,2017-02-21T00:00:00.000,10635.97208333
206,S,Sul,2017-02-21T00:00:00.000,14332.24604167
207,SE,Sudeste/Centro-Oeste,2017-02-21T00:00:00.000,43801.03508333
208,N,Norte,2017-02-22T00:00:00.000,5374.585125
209,NE,Nordeste,2017-02-22T00:00:00.000,10663.337875
210,S,Sul,2017-02-22T00:00:00.000,14291.20558333
211,SE,Sudeste/Centro-Oeste,2017-02-22T00:00:00.000,43762.01466667
212,N,Norte,2017-02-23T00:00:00.000,5436.96195833
213,NE,Nordeste,2017-02-23T00:00:00.000,10896.49420833
214,S,Sul,2017-02-23T00:00:00.000,13734.51249583
215,SE,Sudeste/Centro-Oeste,2017-02-23T00:00:00.000,44232.43641667
216,N,Norte,2017-02-24T00:00:00.000,5361.91683333
217,NE,Nordeste,2017-02-24T00:00:00.000,10949.40383333
218,S,Sul,2017-02-24T00:00:00.000,13401.55175
219,SE,Sudeste/Centro-Oeste,2017-02-24T00:00:00.000,43244.69995833
220,N,Norte,2017-02-25T00:00:00.000,4965.38308333
221,NE,Nordeste,2017-02-25T00:00:00.000,10260.466
222,S,Sul,2017-02-25T00:00:00.000,11491.91866667
223,SE,Sudeste/Centro-Oeste,2017-02-25T00:00:00.000,37314.194875
224,N,Norte,2017-02-26T00:00:00.000,4676.227625
225,NE,Nordeste,2017-02-26T00:00:00.000,9518.7195
226,S,Sul,2017-02-26T00:00:00.000,10037.90391667
227,SE,Sudeste/Centro-Oeste,2017-02-26T00:00:00.000,33390.793375
228,N,Norte,2017-02-27T00:00:00.000,4873.592125
229,NE,Nordeste,2017-02-27T00:00:00.000,9580.732
230,S,Sul,2017-02-27T00:00:00.000,11899.57358333
231,SE,Sudeste/Centro-Oeste,2017-02-27T00:00:00.000,35555.8595
232,N,Norte,2017-02-28T00:00:00.000,4753.643625
233,NE,Nordeste,2017-02-28T00:00:00.000,9531.71633333
234,S,Sul,2017-02-28T00:00:00.000,12134.04091667
235,SE,Sudeste/Centro-Oeste,2017-02-28T00:00:00.000,35607.39204167
236,N,Norte,2017-03-01T00:00:00.000,5067.594875
237,NE,Nordeste,2017-03-01T00:00:00.000,10211.31745833
238,S,Sul,2017-03-01T00:00:00.000,13274.21466667
239,SE,Sudeste/Centro-Oeste,2017-03-01T00:00:00.000,39929.50404167
240,N,Norte,2017-03-02T00:00:00.000,5366.228
241,NE,Nordeste,2017-03-02T00:00:00.000,10801.88895833
242,S,Sul,2017-03-02T00:00:00.000,13679.25608333
243,SE,Sudeste/Centro-Oeste,2017-03-02T00:00:00.000,42162.81470833
244,N,Norte,2017-03-03T00:00:00.000,5457.36041667
245,NE,Nordeste,2017-03-03T00:00:00.000,10741.40970833
246,S,Sul,2017-03-03T00:00:00.000,13644.52733333
247,SE,Sudeste/Centro-Oeste,2017-03-03T00:00:00.000,41699.09229167
248,N,Norte,2017-03-04T00:00:00.000,5343.14
249,NE,Nordeste,2017-03-04T00:00:00.000,10218.345375
250,S,Sul,2017-03-04T00:00:00.000,11240.26791667
251,SE,Sudeste/Centro-Oeste,2017-03-04T00:00:00.000,38246.96404167
252,N,Norte,2017-03-05T00:00:00.000,5239.75720833
253,NE,Nordeste,2017-03-05T00:00:00.000,9679.95275
254,S,Sul,2017-03-05T00:00:00.000,9547.21475
255,SE,Sudeste/Centro-Oeste,2017-03-05T00:00:00.000,35450.81329167
256,N,Norte,2017-03-06T00:00:00.000,5558.9445
257,NE,Nordeste,2017-03-06T00:00:00.000,10934.1985
258,S,Sul,2017-03-06T00:00:00.000,12508.59983333
259,SE,Sudeste/Centro-Oeste,2017-03-06T00:00:00.000,41617.2155
260,N,Norte,2017-03-07T00:00:00.000,5595.40870833
261,NE,Nordeste,2017-03-07T00:00:00.000,11199.95325
262,S,Sul,2017-03-07T00:00:00.000,13219.27108333
263,SE,Sudeste/Centro-Oeste,2017-03-07T00:00:00.000,42333.91108333
264,N,Norte,2017-03-08T00:00:00.000,5544.67658333
265,NE,Nordeste,2017-03-08T00:00:00.000,11297.94775
266,S,Sul,2017-03-08T00:00:00.000,13477.67741667
267,SE,Sudeste/Centro-Oeste,2017-03-08T00:00:00.000,42290.82404167
268,N,Norte,2017-03-09T00:00:00.000,5519.412875
269,NE,Nordeste,2017-03-09T00:00:00.000,11185.78095833
270,S,Sul,2017-03-09T00:00:00.000,13725.963
271,SE,Sudeste/Centro-Oeste,2017-03-09T00:00:00.000,42640.60420833
272,N,Norte,2017-03-10T00:00:00.000,5486.16770833
273,NE,Nordeste,2017-03-10T00:00:00.000,11029.41220833
274,S,Sul,2017-03-10T00:00:00.000,12931.97433333
275,SE,Sudeste/Centro-Oeste,2017-03-10T00:00:00.000,43479.51729167
276,N,Norte,2017-03-11T00:00:00.000,5253.512125
277,NE,Nordeste,2017-03-11T00:00:00.000,10562.93570833
278,S,Sul,2017-03-11T00:00:00.000,10730.63420833
279,SE,Sudeste/Centro-Oeste,2017-03-11T00:00:00.000,39557.73441667
280,N,Norte,2017-03-12T00:00:00.000,4953.40583333
281,NE,Nordeste,2017-03-12T00:00:00.000,9773.13066667
282,S,Sul,2017-03-12T00:00:00.000,9204.05658333
283,SE,Sudeste/Centro-Oeste,2017-03-12T00:00:00.000,36369.67620833
284,N,Norte,2017-03-13T00:00:00.000,5454.045875
285,NE,Nordeste,2017-03-13T00:00:00.000,10859.85383333
286,S,Sul,2017-03-13T00:00:00.000,11339.216
287,SE,Sudeste/Centro-Oeste,2017-03-13T00:00:00.000,42437.104
288,N,Norte,2017-03-14T00:00:00.000,5478.374
289,NE,Nordeste,2017-03-14T00:00:00.000,11011.64904167
290,S,Sul,2017-03-14T00:00:00.000,11932.39879167
291,SE,Sudeste/Centro-Oeste,2017-03-14T00:00:00.000,42045.49845833
292,N,Norte,2017-03-15T00:00:00.000,5359.44729167
293,NE,Nordeste,2017-03-15T00:00:00.000,11013.34858333
294,S,Sul,2017-03-15T00:00:00.000,12667.21795833
295,SE,Sudeste/Centro-Oeste,2017-03-15T00:00:00.000,41738.89025
296,N,Norte,2017-03-16T00:00:00.000,5248.30791667
297,NE,Nordeste,2017-03-16T00:00:00.000,11010.95975
298,S,Sul,2017-03-16T00:00:00.000,12513.240375
299,SE,Sudeste/Centro-Oeste,2017-03-16T00:00:00.000,42530.11179167
300,N,Norte,2017-03-17T00:00:00.000,5405.21420833
301,NE,Nordeste,2017-03-17T00:00:00.000,10856.464125
302,S,Sul,2017-03-17T00:00:00.000,11444.897375
303,SE,Sudeste/Centro-Oeste,2017-03-17T00:00:00.000,42779.01154167
304,N,Norte,2017-03-18T00:00:00.000,5143.75108333
305,NE,Nordeste,2017-03-18T00:00:00.000,10278.77395833
306,S,Sul,2017-03-18T00:00:00.000,9548.77458333
307,SE,Sudeste/Centro-Oeste,2017-03-18T00:00:00.000,37272.407875
308,N,Norte,2017-03-19T00:00:00.000,4833.707
309,NE,Nordeste,2017-03-19T00:00:00.000,9649.704875
310,S,Sul,2017-03-19T00:00:00.000,8316.544625
311,SE,Sudeste/Centro-Oeste,2017-03-19T00:00:00.000,32015.88195833
312,N,Norte,2017-03-20T00:00:00.000,5362.31904167
313,NE,Nordeste,2017-03-20T00:00:00.000,10969.28825
314,S,Sul,2017-03-20T00:00:00.000,11132.58870833
315,SE,Sudeste/Centro-Oeste,2017-03-20T00:00:00.000,37211.571
316,N,Norte,2017-03-21T00:00:00.000,5423.961
317,NE,Nordeste,2017-03-21T00:00:00.000,11382.80283333
318,S,Sul,2017-03-21T00:00:00.000,11670.842375
319,SE,Sudeste/Centro-Oeste,2017-03-21T00:00:00.000,38072.32025
320,N,Norte,2017-03-22T00:00:00.000,5438.534
321,NE,Nordeste,2017-03-22T00:00:00.000,11241.26133333
322,S,Sul,2017-03-22T00:00:00.000,11926.758
323,SE,Sudeste/Centro-Oeste,2017-03-22T00:00:00.000,38817.98745833
324,N,Norte,2017-03-23T00:00:00.000,5600.409375
325,NE,Nordeste,2017-03-23T00:00:00.000,11085.31970833
326,S,Sul,2017-03-23T00:00:00.000,12019.47154167
327,SE,Sudeste/Centro-Oeste,2017-03-23T00:00:00.000,39298.84375
328,N,Norte,2017-03-24T00:00:00.000,5607.83858333
329,NE,Nordeste,2017-03-24T00:00:00.000,10943.84879167
330,S,Sul,2017-03-24T00:00:00.000,12096.12366667
331,SE,Sudeste/Centro-Oeste,2017-03-24T00:00:00.000,39928.88841667
332,N,Norte,2017-03-25T00:00:00.000,5222.097875
333,NE,Nordeste,2017-03-25T00:00:00.000,10417.979375
334,S,Sul,2017-03-25T00:00:00.000,10460.04245833
